Designator,Comment,Layer,Footprint,Center-Y(mm),Center-X(mm),,Rotation,Description
R1,100k,TopLayer,3-0603,46.863,52.578,,0,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R10,10k,TopLayer,3-0603,62.865,16.637,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R2,100k,TopLayer,3-0603,45.339,52.578,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R3,10k,TopLayer,3-0603,45.974,54.991,,90,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R7,0X,TopLayer,3-0603,26.924,13.843,,360,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R8,10k,TopLayer,3-0603,72.644,8.001,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R9,10k,TopLayer,3-0603,54.229,16.764,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
U1,TPS7A2033PDBVR,TopLayer,MF05A_N,74.807,61.341,,270,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U10,DS3231,TopLayer,DS3231,45.72,9.003,,360,
U2,LP3985IM5-3.3,TopLayer,MF05A_N,5.751,40.692,,0,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U3,SGTL5000,TopLayer,QFN32,21.118,48.185,,360,SGTL5000
U4,LP3985IM5-3.3,TopLayer,MF05A_N,25.817,19.102,,0,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U5,LP3985IM5-3.3,TopLayer,MF05A_N,20.447,58.547,,180,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U6,TLV70018DCKR,TopLayer,TI-DCK5_V,26.797,42.291,,360,"Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)"
U7,MAX4996ETG+,TopLayer,QFN40P350X350X80-25N,51.054,56.515,,180,3 Circuit IC Switch 2:2 4Ohm 24-TQFN (4x4)
U8,TPS7A2033PDBVR,TopLayer,MF05A_N,48.768,61.976,,270,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
